,State,Crop,Other Variable Cost,Labor (All),Water,Land,Total / Acre,
California,6,Alfalfa,$647.46,16.675,$112.86,66,$843.00,
Idaho,16,Alfalfa,$263.55,18.4,$112.86,143,$537.81,
Washington,53,Alfalfa,$756.75,19.665,$35.55,215,"$1,026.97",
Oregon,41,Alfalfa,$125.97,19.32,$36.84,130,$312.13,
California,6,Alfalfa Hay,$647.46,16.675,$112.86,66,$843.00,
Idaho,16,Alfalfa Hay,$263.55,18.4,$112.86,143,$537.81,
Oregon,41,Alfalfa Hay,$125.97,19.32,$36.84,130,$312.13,
Washington,53,Alfalfa Hay,$614.27,19.665,$35.55,215,$884.49,
California,6,Alfalfa Haylage,$647.46,16.675,$112.86,66,$843.00,
Idaho,16,Alfalfa Haylage,$263.55,18.4,$112.86,143,$537.81,
Oregon,41,Alfalfa Haylage,$125.97,19.32,$36.84,130,$312.13,
Washington,53,Alfalfa Haylage,$614.27,19.665,$35.55,215,$884.49,
California,6,Barley,$168.38,16.675,$112.86,66,$363.92,
Idaho,16,Barley,$187.99,18.4,$112.86,143,$462.25,
Oregon,41,Barley,$168.38,19.32,$36.84,130,$354.54,
Washington,53,Barley,$148.76,19.665,$35.55,215,$418.98,
California,6,"Beans, Dry Edible",$629.48,16.675,$112.86,66,$825.02,
Idaho,16,"Beans, Dry Edible",$222.63,18.4,$112.86,143,$496.89,
Oregon,41,"Beans, Dry Edible",$222.63,19.32,$36.84,130,$408.79,
Washington,53,"Beans, Dry Edible",$222.63,19.665,$35.55,215,$492.85,
Idaho,16,Canola,$204.31,18.4,$112.86,143,$478.57,
Oregon,41,Canola,$332.32,19.32,$36.84,130,$518.48,
Washington,53,Canola,$184.98,19.665,$35.55,215,$455.20,
California,6,Canola,,,,,,No production CA
California,6,Corn Grain,$795.24,16.675,$112.86,66,$990.78,
Idaho,16,Corn Grain,$594.71,18.4,$112.86,143,$868.97,
Oregon,41,Corn Grain,$615.04,19.32,$36.84,130,$801.20,
Washington,53,Corn Grain,$933.29,19.665,$35.55,215,"$1,203.51",
California,6,Corn Silage,$792.16,16.675,$112.86,66,$987.70,
Idaho,16,Corn Silage,$783.17,18.4,$112.86,143,"$1,057.43",
Oregon,41,Corn Silage,$693.44,19.32,$36.84,130,$879.60,
Washington,53,Corn Silage,$787.67,19.665,$35.55,215,"$1,057.89",
California,6,Grass Hay,$546.67,16.675,$112.86,66,$742.21,
Idaho,16,Grass Hay,$297.50,18.4,$112.86,143,$571.76,
Oregon,41,Grass Hay,$422.09,19.32,$36.84,130,$608.25,
Washington,53,Grass Hay,$422.09,19.665,$35.55,215,$692.31,
California,6,Grass Haylage,$546.67,16.675,$112.86,66,$742.21,
Idaho,16,Grass Haylage,$297.50,18.4,$112.86,143,$571.76,
Oregon,41,Grass Haylage,$422.09,19.32,$36.84,130,$608.25,
Washington,53,Grass Haylage,$422.09,19.665,$35.55,215,$692.31,
Idaho,16,Lentils,$128.12,18.4,$112.86,143,$402.38,
Montana,30,Lentils,$128.12,16.675,$112.86,29.5,$287.16,
Washington,53,Lentils,$90.15,19.665,$35.55,215,$360.37,
California,6,Lentils,,,,,,"As of 2008, no production: http://www.pea-lentil.com/core/files/pealentil/uploads/files/Chapter3.pdf"
California,6,Oats,$344.51,16.675,$112.86,66,$540.05,
Idaho,16,Oats,$114.21,18.4,$112.86,143,$388.47,
Oregon,41,Oats,$212.32,19.32,$36.84,130,$398.48,
Washington,53,Oats,$223.68,19.665,$35.55,215,$493.90,
California,6,Potatoes,"$2,547.00",16.675,$112.86,66,"$2,742.54",
Idaho,16,Potatoes,"$2,418.62",18.4,$112.86,143,"$2,692.88",
Oregon,41,Potatoes,"$3,145.00",19.32,$36.84,130,"$3,331.16",
Washington,53,Potatoes,"$3,145.00",19.665,$35.55,215,"$3,415.22",
California,6,Spring Wheat,$326.74,16.675,$112.86,66,$522.28,
Idaho,16,Spring Wheat,$245.96,18.4,$112.86,143,$520.22,
Oregon,41,Spring Wheat,$239.85,19.32,$36.84,130,$426.01,
Washington,53,Spring Wheat,$125.68,19.665,$35.55,215,$395.90,
Idaho,16,Sugarbeets,"$1,068.66",18.4,$112.86,143,"$1,342.92",
Montana,30,Sugarbeets,"$1,068.66",16.675,$112.86,29.5,"$1,227.70",
Oregon,41,Sugarbeets,"$1,068.66",19.32,$36.84,130,"$1,254.82",
Washington,53,Sugarbeets,$209.68,19.665,$35.55,215,$479.90,
California,6,Winter Wheat,$662.02,16.675,$112.86,66,$857.56,
Idaho,16,Winter Wheat,$209.68,18.4,$112.86,143,$483.94,
Oregon,41,Winter Wheat,$265.88,19.32,$36.84,130,$452.04,
Washington,53,Winter Wheat,$409.79,19.665,$35.55,215,$680.01,