ST_FIP,Crop,Fertilizer,Pesticides,Seeds,Fuel,Repair and Maintenance,Custom & Consult,Other (w/o irrigation),Breakdown Sum,Total Other Variable Costs,Total Variable - Breakdown Difference
6,Alfalfa,$32.75,$97.09,,$3.08,$1.00,$380.54,$133.00,$614.71,$647.46,$32.75
16,Alfalfa,$68.24,$15.85,$80.00,$12.59,$23.89,$32.75,$30.23,$195.31,$263.55,$68.24
30,Alfalfa,$68.24,$15.85,$80.00,$12.59,$23.89,$32.75,$30.23,$195.31,$263.55,$68.24
41,Alfalfa,,,,,,,,$0.00,,$0.00
6,Alfalfa Hay,$32.75,$97.09,,$3.08,$1.00,$380.54,$133.00,$614.71,$647.46,$32.75
16,Alfalfa Hay,$68.24,$15.85,$80.00,$12.59,$23.89,$32.75,$30.23,$195.31,$263.55,$68.24
30,Alfalfa Hay,$68.24,$15.85,$80.00,$12.59,$23.89,$32.75,$30.23,$195.31,$263.55,$68.24
41,Alfalfa Hay,$20.56,$40.17,,,,$36.78,$28.46,$105.41,$125.97,$20.56
6,Alfalfa Haylage,$32.75,$97.09,,$3.08,$1.00,$380.54,$133.00,$614.71,$647.46,$32.75
16,Alfalfa Haylage,$68.24,$15.85,$80.00,$12.59,$23.89,$32.75,$30.23,$195.31,$263.55,$68.24
30,Alfalfa Haylage,$68.24,$15.85,$80.00,$12.59,$23.89,$32.75,$30.23,$195.31,$263.55,$68.24
41,Alfalfa Haylage,$20.56,$40.17,,$0,0,$36.78,$28.46,$105.41,$125.97,$20.56
6,Barley,,,,,,,,$0.00,$168.38,$168.38
16,Barley,$68.24,,$17.60,$12.59,$23.89,$32.75,$32.92,$119.75,$187.99,$68.24
30,Barley,$68.24,,$17.60,$12.59,$23.89,$32.75,$32.92,$119.75,$187.99,$68.24
41,Barley,,,,,,,,$0.00,$168.38,$168.38
6,"Beans, Dry Edible",$86.55,$87.33,$55.34,$35.11,$17.71,$268.99,$288.27,$752.75,$629.48,-$123.27
16,"Beans, Dry Edible",$71.70,$28.58,$56.00,$21.73,$13.50,$115.45,$138.30,$373.56,$222.63,-$150.93
30,"Beans, Dry Edible",$71.70,$28.58,$56.00,$21.73,$13.50,$115.45,$138.30,$373.56,$222.63,-$150.93
41,"Beans, Dry Edible",,,,,,,,$0.00,$222.63,$222.63
6,Canola,,,,,,,,$0.00,,$0.00
16,Canola,$77.20,$19.06,$36.80,$15.76,$12.85,$11.00,$31.64,$127.11,$204.31,$77.20
30,Canola,$77.20,$19.06,$36.80,$15.76,$12.85,$11.00,$31.64,$127.11,$204.31,$77.20
41,Canola,$136.80,$41.79,$24.00,$22.50,$33.00,$28.81,$45.42,$195.52,$332.32,$136.80
6,Corn Grain,$228.10,$77.42,$59.40,$105.28,$36.89,$142.55,$145.60,$567.14,$795.24,$228.10
16,Corn Grain,$216.50,$54.98,$74.25,$29.52,$19.65,$53.50,$146.31,$378.21,$594.71,$216.50
30,Corn Grain,$216.50,$54.98,$74.25,$29.52,$19.65,$53.50,$146.31,$378.21,$594.71,$216.50
41,Corn Grain,$220.50,$58.96,$104.00,$32.50,$20.00,,$179.08,$394.54,$615.04,$220.50
6,Corn Silage,$201.10,$43.41,$59.40,$42.64,$36.89,$264.00,$144.72,$591.06,$792.16,$201.10
16,Corn Silage,$216.50,$54.98,$79.20,$29.52,$19.65,$300.50,$82.82,$566.67,$783.17,$216.50
30,Corn Silage,$216.50,$54.98,$79.20,$29.52,$19.65,$300.50,$82.82,$566.67,$783.17,$216.50
41,Corn Silage,,,,,,,,$0.00,$693.44,$693.44
6,Grass Hay,$122.28,$39.59,,$36.96,$7.00,$181.97,$158.87,$424.39,$546.67,$122.28
16,Grass Hay,$74.10,,,$24.90,$7.00,$120.00,$71.50,$223.40,$297.50,$74.10
30,Grass Hay,$74.10,,,$24.90,$7.00,$120.00,$71.50,$223.40,$297.50,$74.10
41,Grass Hay,,,,,,,,$0.00,$422.09,$422.09
6,Grass Haylage,$122.28,$39.59,,$36.96,$7.00,$181.97,$158.87,$424.39,$546.67,$122.28
16,Grass Haylage,$74.10,,,$24.90,$7.00,$120.00,$71.50,$223.40,$297.50,$74.10
30,Grass Haylage,$74.10,,,$24.90,$7.00,$120.00,$71.50,$223.40,$297.50,$74.10
41,Grass Haylage,,,,,,,,$0.00,$422.09,$422.09
6,Lentils,,,,,,,,$0.00,,$0.00
16,Lentils,,$33.33,$22.05,$14.55,$12.19,$8.50,$37.50,$128.12,$128.12,$0.00
30,Lentils,,$33.33,$22.05,$14.55,$12.19,$8.50,$37.50,$128.12,$128.12,$0.00
53,Lentils,,$34.50,$14.85,,$15.48,$10.00,$15.32,$90.15,$90.15,$0.00
6,Oats,$62.42,$7.60,$30.84,$15.89,$6.54,$105.12,$116.10,$282.09,$344.51,$62.42
16,Oats,$37.95,$20.21,$18.70,$14.39,,$6.00,$16.96,$76.26,$114.21,$37.95
30,Oats,$37.95,$20.21,$18.70,$14.39,,$6.00,$16.96,$76.26,$114.21,$37.95
41,Oats,$55.66,$3.32,$36.89,$26.78,$33.00,,$56.67,$156.66,$212.32,$55.66
6,Potatoes,$405.00,$461.00,$429.00,$241.00,$115.00,$261.00,$635.00,"$2,142.00","$2,547.00",$405.00
16,Potatoes,$492.05,$400.03,$385.25,$65.34,$64.45,$214.12,$797.38,"$1,926.57","$2,418.62",$492.05
30,Potatoes,$492.05,$400.03,$385.25,$65.34,$64.45,$214.12,$797.38,"$1,926.57","$2,418.62",$492.05
41,Potatoes,$662.00,$857.00,$432.00,$100.00,$100.00,$152.00,$842.00,"$2,483.00","$3,145.00",$662.00
6,Spring Wheat,$126.55,$5.98,$19.93,$54.53,$22.92,$84.87,$11.96,$200.19,$326.74,$126.55
16,Spring Wheat,$109.50,$53.87,$27.00,$14.40,$11.16,$9.38,$20.65,$136.46,$245.96,$109.50
30,Spring Wheat,$109.50,$53.87,$27.00,$14.40,$11.16,$9.38,$20.65,$136.46,$130.41,-$6.05
41,Spring Wheat,$67.18,$11.90,$36.89,$27.55,$33.07,,$63.26,$172.67,$239.85,$67.18
6,Sugarbeets,,,,,,,,$0.00,,$0.00
30,Sugarbeets,$171.60,$380.71,$91.52,$74.63,$68.75,$90.00,$191.45,$897.06,"$1,068.66",$171.60
41,Sugarbeets,,,,,,,,$0.00,"$1,068.66","$1,068.66"
53,Sugarbeets,,,,,,,,$0.00,$209.68,$209.68
6,Winter Wheat,$157.20,$33.80,$20.80,$19.89,$7.98,$57.82,$364.53,$504.82,$662.02,$157.20
16,Winter Wheat,$78.50,$29.62,$18.00,$16.56,$12.99,$4.25,$49.76,$131.18,$209.68,$78.50
30,Winter Wheat,$78.50,$29.62,$18.00,$16.56,$12.99,$4.25,$49.76,$131.18,$209.68,$78.50
41,Winter Wheat,$64.36,$50.24,$19.68,$31.52,$36.28,,$63.80,$201.52,$265.88,$64.36
,,,,,,,,,,,
Missing,,,,,,,,,,,