commodity,location,year,unit,irrigated,partial,none,unspecified
BARLEY,6,2012,BU / ACRE,84.4,42.2,43,
BEANS,6,2012,CWT / ACRE,24.7,19,18.3,
"BEANS, DRY EDIBLE",6,2012,CWT / ACRE,24.7,19,18.3,
"BEANS, DRY EDIBLE, (EXCL LIMA)",6,2012,CWT / ACRE,24.7,19,18.3,
CORN,6,2012,BU / ACRE,177,169.1,,
CORN,6,2012,TONS / ACRE,25.8,26.3,24,
CORN GRAIN,6,2012,BU / ACRE,177,169.1,,
CORN SILAGE,6,2012,TONS / ACRE,25.8,26.3,24,
COTTON,6,2012,BALES / ACRE,3.3,,,
"COTTON, PIMA",6,2012,BALES / ACRE,3.1,,,
"COTTON, UPLAND",6,2012,BALES / ACRE,3.5,,,
alfalfa,6,2012,TONS / ACRE,4.53,3.33,2.22,
alfalfa hay,6,2012,TONS / ACRE,6.5,6.4,3.8,
HAYLAGE,6,2012,TONS / ACRE,10.55,8.5,8.25,
alfalfa haylage,6,2012,TONS / ACRE,6.9,6.1,5.3,
Grass Haylage,6,2012,TONS / ACRE,14.2,10.9,11.2,
"HAY, SMALL GRAIN",6,2012,TONS / ACRE,4.5,2.6,2.1,
"HAY, TAME",6,2012,TONS / ACRE,4.7,3.2,2,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",6,2012,TONS / ACRE,4.7,3.2,2,
Grass Hay,6,2012,TONS / ACRE,2.1,1.4,1.4,
OATS,6,2012,BU / ACRE,104.5,86.3,63.4,
PEANUTS,6,2012,LB / ACRE,3114.6,,,
RICE,6,2012,CWT / ACRE,83.1,,,
SORGHUM,6,2012,BU / ACRE,87.5,123.2,94.3,
"SORGHUM, GRAIN",6,2012,BU / ACRE,87.5,123.2,94.3,
SUGARBEETS,6,2012,TONS / ACRE,43.5,41.2,,
WHEAT,6,2012,BU / ACRE,95.4,76.7,58.1,
spring wheat,6,2012,BU / ACRE,90.7,,,
"spring wheat, (EXCL DURUM)",6,2012,BU / ACRE,90.7,,,
winter wheat,6,2012,BU / ACRE,92.8,81.5,58.5,
BARLEY,16,2012,BU / ACRE,108.8,71.1,51.2,
BEANS,16,2012,CWT / ACRE,24.7,21.3,15.4,
"BEANS, DRY EDIBLE",16,2012,CWT / ACRE,24.7,21.3,15.4,
"BEANS, DRY EDIBLE, (EXCL LIMA)",16,2012,CWT / ACRE,24.7,21.3,15.4,
CORN,16,2012,BU / ACRE,194.3,,,
CORN,16,2012,TONS / ACRE,27.2,,,
CORN GRAIN,16,2012,BU / ACRE,194.3,,,
CORN SILAGE,16,2012,TONS / ACRE,27.2,,,
alfalfa,16,2012,TONS / ACRE,2.48,1.75,1.52,
alfalfa hay,16,2012,TONS / ACRE,4.6,2.5,1.4,
HAYLAGE,16,2012,TONS / ACRE,10.55,5.3,7.1,
alfalfa haylage,16,2012,TONS / ACRE,11.2,5.3,7.1,
Grass Haylage,16,2012,TONS / ACRE,9.9,,,
"HAY, SMALL GRAIN",16,2012,TONS / ACRE,2.6,2.1,1.5,
"HAY, TAME",16,2012,TONS / ACRE,2.1,1.6,1.7,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",16,2012,TONS / ACRE,2.1,1.6,1.7,
Grass Hay,16,2012,TONS / ACRE,1.4,1.1,1.1,
OATS,16,2012,BU / ACRE,91.8,53.3,58.2,
SORGHUM,16,2012,BU / ACRE,88.7,,,
"SORGHUM, GRAIN",16,2012,BU / ACRE,88.7,,,
SUGARBEETS,16,2012,TONS / ACRE,35.1,,,
WHEAT,16,2012,BU / ACRE,104.1,61.6,57.9,
spring wheat,16,2012,BU / ACRE,91.35,62.1,34.9,
"spring wheat, DURUM",16,2012,BU / ACRE,86.5,60.9,26.3,
"spring wheat, (EXCL DURUM)",16,2012,BU / ACRE,96.2,63.3,43.5,
winter wheat,16,2012,BU / ACRE,111.3,69.1,62.1,
BARLEY,30,2012,BU / ACRE,85,43,39.2,
BEANS,30,2012,CWT / ACRE,14.1,,14.8,
"BEANS, DRY EDIBLE",30,2012,CWT / ACRE,14.1,,14.8,
"BEANS, DRY EDIBLE, (EXCL LIMA)",30,2012,CWT / ACRE,14.1,,14.8,
CORN,30,2012,BU / ACRE,138.8,132.8,28.7,
CORN,30,2012,TONS / ACRE,21.9,15.1,13.4,
CORN GRAIN,30,2012,BU / ACRE,138.8,132.8,28.7,
CORN SILAGE,30,2012,TONS / ACRE,21.9,15.1,13.4,
alfalfa,30,2012,TONS / ACRE,2.08,1.67,1.22,
alfalfa hay,30,2012,TONS / ACRE,3,2.1,1.1,
HAYLAGE,30,2012,TONS / ACRE,4.8,3.6,2.6,
alfalfa haylage,30,2012,TONS / ACRE,4.8,5.5,2.4,
Grass Haylage,30,2012,TONS / ACRE,4.8,1.7,2.8,
"HAY, SMALL GRAIN",30,2012,TONS / ACRE,2.5,2.1,1.3,
"HAY, TAME",30,2012,TONS / ACRE,1.8,1.5,1.3,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",30,2012,TONS / ACRE,1.8,1.5,1.3,
Grass Hay,30,2012,TONS / ACRE,1.6,1.3,1,
OATS,30,2012,BU / ACRE,77.3,61.6,34.1,
SOYBEANS,30,2012,BU / ACRE,35.4,,12.4,
SUGARBEETS,30,2012,TONS / ACRE,27.6,,,
WHEAT,30,2012,BU / ACRE,61.4,36.4,31,
spring wheat,30,2012,BU / ACRE,58.25,33.9,28,
"spring wheat, DURUM",30,2012,BU / ACRE,53.3,33.2,28.3,
"spring wheat, (EXCL DURUM)",30,2012,BU / ACRE,63.2,34.6,27.7,
winter wheat,30,2012,BU / ACRE,56.2,38.2,36.2,
BARLEY,41,2012,BU / ACRE,92.1,91.7,58.7,
BEANS,41,2012,CWT / ACRE,24.7,23.2,25.2,
"BEANS, DRY EDIBLE",41,2012,CWT / ACRE,24.7,23.2,25.2,
"BEANS, DRY EDIBLE, (EXCL LIMA)",41,2012,CWT / ACRE,24.7,23.2,25.2,
CORN,41,2012,BU / ACRE,207.9,190.9,92,
CORN,41,2012,TONS / ACRE,26.8,19.2,13.7,
CORN GRAIN,41,2012,BU / ACRE,207.9,190.9,92,
CORN SILAGE,41,2012,TONS / ACRE,26.8,19.2,13.7,
alfalfa,41,2012,TONS / ACRE,2.57,2.38,1.98,
alfalfa hay,41,2012,TONS / ACRE,4.3,4.1,2.4,
HAYLAGE,41,2012,TONS / ACRE,6.25,5.15,4.85,
alfalfa haylage,41,2012,TONS / ACRE,7.3,2.8,3.9,
Grass Haylage,41,2012,TONS / ACRE,5.2,7.5,5.8,
"HAY, SMALL GRAIN",41,2012,TONS / ACRE,3,2.5,2,
"HAY, TAME",41,2012,TONS / ACRE,2.3,2.1,2,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",41,2012,TONS / ACRE,2.3,2.1,2,
Grass Hay,41,2012,TONS / ACRE,1.2,1.4,1.5,
OATS,41,2012,BU / ACRE,121.5,88.7,79.1,
SUGARBEETS,41,2012,TONS / ACRE,34.6,,,
WHEAT,41,2012,BU / ACRE,103.5,62,58.9,
spring wheat,41,2012,BU / ACRE,90.1,59.5,55.1,
"spring wheat, DURUM",41,2012,BU / ACRE,,,59.9,
"spring wheat, (EXCL DURUM)",41,2012,BU / ACRE,90.1,59.5,50.3,
winter wheat,41,2012,BU / ACRE,111.7,61.5,60,
BARLEY,53,2012,BU / ACRE,86.7,72.6,68.3,
BEANS,53,2012,CWT / ACRE,,,17.2,
"BEANS, DRY EDIBLE",53,2012,CWT / ACRE,,,17.2,
"BEANS, DRY EDIBLE, (EXCL LIMA)",53,2012,CWT / ACRE,,,17.2,
CORN,53,2012,TONS / ACRE,26.3,20.7,21.9,
CORN SILAGE,53,2012,TONS / ACRE,26.3,20.7,21.9,
HAY,53,2012,TONS / ACRE,4.33,2.2,1.73,
alfalfa hay,53,2012,TONS / ACRE,6,2.8,1.7,
HAYLAGE,53,2012,TONS / ACRE,8.35,7.15,5.45,
alfalfa haylage,53,2012,TONS / ACRE,6.9,3.9,4.2,
Grass Haylage,53,2012,TONS / ACRE,9.8,10.4,6.7,
"HAY, SMALL GRAIN",53,2012,TONS / ACRE,3,2.1,1.6,
"HAY, TAME",53,2012,TONS / ACRE,5,2.2,1.9,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",53,2012,TONS / ACRE,5,2.2,1.9,
Grass Hay,53,2012,TONS / ACRE,2,1.7,1.4,
OATS,53,2012,BU / ACRE,,,73.4,
WHEAT,53,2012,BU / ACRE,115.9,69.5,60.4,
spring wheat,53,2012,BU / ACRE,106.1,,49.8,
"spring wheat, (EXCL DURUM)",53,2012,BU / ACRE,106.1,,49.8,
winter wheat,53,2012,BU / ACRE,121.3,75,63.3,
canola,41,2012,LB / ACRE,2500,,,http://arec.oregonstate.edu/oaeb/files/pdf/AEB0040.pdf
canola,53,2006,LB / ACRE,,1300,,http://ses.wsu.edu/wp-content/uploads/2015/02/eb2009e.pdf
canola,16,,LB / ACRE,2000,,,https://www.cals.uidaho.edu/edcomm/pdf/CIS/CIS1012.pdf
Lentils,41,,LB / ACRE,1000,,,http://extension.oregonstate.edu/crook/sites/default/files/alternate_crops_for_eastern_oregon2.pdf
Lentils,53,,LB / ACRE,1200,,,http://www.nass.usda.gov/Statistics_by_State/Washington/Historic_Data/fieldcrops/lentils.pdf
Lentils,16,2000,LB / ACRE,1100,,,http://www.ipmcenters.org/cropprofiles/docs/IDlentils.pdf
potatoes,6,2014,CWT / ACRE,485,,,http://coststudyfiles.ucdavis.edu/uploads/cs_public/4e/f5/4ef54da3-114e-4952-a66a-049765b9a747/15potatofreshmktklamathfinaldraftdec10.pdf
potatoes,41,2010,CWT / ACRE,510,,,http://www.nass.usda.gov/Statistics_by_State/Oregon/Publications/Field_Crop_Report/potatoes/potato%20sum%202010.pdf
potatoes,53,,CWT / ACRE,535.714,,,http://www.potatoes.com/our-industry/history/
potatoes,16,,CWT / ACRE,480,,,https://www.uidaho.edu/~/media/UIdaho-Responsive/Files/cals/Programs/ID-Agbiz/crop-budgets/Southcentral/Potatoes-2015.ashx
